# Date:     2025-09-16 18:17:56
# Database: ocvs
# Target:   lmc_cepheids
# Query:    TRUE 
# Objects:  4713
# Columns:
# ID	Mode	RA	Decl	I	V	V_I	P_1	dP_1	T0_1	A_1	R21_1	phi21_1	R31_1	phi31_1	ID_OGLE_II	ID_OGLE_III	ID_OGLE_IV	ID_OTHER	REMARKS
OGLE-LMC-CEP-1044	F	05:08:05.66	-68:34:53.4	15.123	15.887	0.764	3.9932001	0.0000057	6002.92103	0.458	0.390	4.611	0.183	2.991	-99.99	LMC118.3.25252	LMC510.20.292	-99.99	
OGLE-LMC-CEP-1045	F	05:08:05.74	-70:22:52.2	14.854	15.602	0.748	4.7436251	0.0000101	6001.83469	0.498	0.447	4.826	0.206	3.398	-99.99	LMC121.3.22734	LMC509.02.27205	HV2345	
OGLE-LMC-CEP-1046	1	05:08:06.76	-70:51:19.7	15.474	16.132	0.658	1.9698278	0.0000041	6000.20912	0.262	0.179	4.569	0.021	2.917	-99.99	LMC122.4.24378	LMC508.19.16969	-99.99	
OGLE-LMC-CEP-1047	F	05:08:07.26	-68:41:08.1	15.276	15.985	0.709	3.5910886	0.0000083	6000.03210	0.453	0.447	4.603	0.227	2.989	-99.99	LMC118.2.83454	LMC510.20.150	-99.99	
OGLE-LMC-CEP-1048	1	05:08:07.35	-68:04:39.8	15.427	16.084	0.657	1.9528568	0.0000052	6001.93141	0.200	0.136	4.870	0.017	3.465	-99.99	LMC117.2.47982	LMC510.28.36500	-99.99	
OGLE-LMC-CEP-1049	1	05:08:08.48	-67:56:30.2	15.681	16.313	0.632	1.6156800	0.0000038	6000.10041	0.197	0.139	4.572	0.021	3.099	-99.99	LMC117.3.43680	LMC511.03.144	-99.99	
OGLE-LMC-CEP-1050	1	05:08:09.07	-66:41:49.3	15.683	16.360	0.677	1.7025561	0.0000064	6001.36897	0.139	0.119	4.824	0.033	4.078	-99.99	LMC115.4.68	LMC512.03.17853	-99.99	
OGLE-LMC-CEP-1051	F	05:08:09.65	-69:15:47.3	15.486	16.249	0.763	3.0988610	0.0000042	6000.83654	0.424	0.440	4.546	0.224	2.862	LMC_SC11_118714	LMC119.2.76338	LMC510.03.189	-99.99	
OGLE-LMC-CEP-1052	F	05:08:09.86	-67:20:21.6	14.930	15.710	0.780	4.3163216	0.0000108	6002.47200	0.381	0.405	4.669	0.183	3.096	-99.99	LMC116.3.100	LMC511.20.148	-99.99	
OGLE-LMC-CEP-1053	F	05:08:09.90	-68:10:37.8	15.696	16.343	0.647	2.3831176	0.0000017	6002.03609	0.663	0.502	4.323	0.281	2.530	-99.99	LMC117.2.9750	LMC510.28.36401	HV5604	
OGLE-LMC-CEP-1054	12	05:08:10.31	-71:01:47.8	16.980	17.595	0.615	0.6855513	0.0000016	6000.63752	0.213	0.197	3.610	0.117	1.437	-99.99	LMC122.2.16556	LMC508.19.456	-99.99	
OGLE-LMC-CEP-1055	12	05:08:12.22	-67:51:16.9	16.341	16.913	0.572	0.9804668	0.0000014	6000.19774	0.254	0.245	4.195	0.071	2.207	-99.99	LMC117.4.7101	LMC511.03.28121	-99.99	
OGLE-LMC-CEP-1056	F	05:08:12.52	-66:51:39.2	14.959	15.769	0.810	4.4606658	0.0000096	6002.10280	0.461	0.438	4.782	0.214	3.337	-99.99	LMC115.3.56	LMC511.28.18188	HV5579	
OGLE-LMC-CEP-1057	F	05:08:17.66	-70:11:28.6	14.734	15.490	0.756	5.0740154	0.0000100	6004.42804	0.491	0.444	4.855	0.193	3.439	-99.99	LMC121.4.54328	LMC509.10.13	HV12555	
OGLE-LMC-CEP-1058	F	05:08:18.26	-68:46:47.1	-99.99	13.492	-99.99	30.4004037	0.0005360	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	LMC_SC11_162232	-99.99	LMC510.11.55330	HV904	
OGLE-LMC-CEP-1059	1	05:08:18.55	-70:29:52.8	14.689	15.336	0.647	3.2512739	0.0000273	6003.09294	0.074	0.038	3.923	0.000	-99.99	-99.99	LMC121.2.51796	LMC509.02.9	-99.99	
OGLE-LMC-CEP-1060	1	05:08:19.51	-70:36:51.9	15.557	16.330	0.773	2.0419877	0.0000045	6001.98212	0.270	0.155	4.673	0.019	3.706	-99.99	LMC121.1.44337	LMC508.27.24627	DV88	
OGLE-LMC-CEP-1061	F	05:08:20.13	-70:43:44.9	15.707	16.415	0.708	2.5980533	0.0000029	6002.18816	0.478	0.479	4.468	0.261	2.754	-99.99	LMC122.4.24394	LMC508.27.122	DV89	
OGLE-LMC-CEP-1062	1	05:08:20.67	-69:10:16.3	15.524	16.214	0.690	1.8119677	0.0000065	6000.24753	0.168	0.119	4.645	0.000	-99.99	LMC_SC11_124360	LMC119.3.83180	LMC510.03.346	-99.99	
OGLE-LMC-CEP-1063	12	05:08:21.22	-69:07:17.2	16.995	17.603	0.608	0.6608607	0.0000012	6000.27900	0.212	0.185	3.346	0.118	1.153	LMC_SC11_130342	LMC119.3.83549	LMC510.03.54825	-99.99	
OGLE-LMC-CEP-1064	F1	05:08:21.68	-66:45:09.5	14.997	15.675	0.678	3.7003534	0.0000245	6001.24809	0.233	0.186	4.585	0.045	2.966	-99.99	LMC115.3.63	LMC512.03.78	HV13062	
OGLE-LMC-CEP-1065	1	05:08:26.47	-70:35:43.1	15.152	15.943	0.791	2.9505973	0.0000138	6002.69053	0.223	0.063	3.342	0.049	6.002	-99.99	LMC121.1.44304	LMC508.27.24641	-99.99	
OGLE-LMC-CEP-1066	1	05:08:26.62	-69:21:16.6	16.677	18.126	1.449	2.0322522	0.0000101	6001.25904	0.182	0.128	4.955	0.043	4.466	LMC_SC11_108797	LMC119.2.26329	LMC509.27.47432	-99.99	
OGLE-LMC-CEP-1067	1	05:08:26.71	-70:29:35.5	14.643	15.379	0.736	3.5433123	0.0000217	6001.68679	0.206	0.101	3.474	0.051	0.355	-99.99	LMC121.2.51799	LMC509.02.10	-99.99	
OGLE-LMC-CEP-1068	1	05:08:27.05	-69:21:18.9	16.483	17.688	1.205	2.0539083	0.0000083	6001.96115	0.175	0.118	4.950	0.025	5.001	LMC_SC11_108797	LMC119.2.26121	LMC509.27.47426	-99.99	
OGLE-LMC-CEP-1069	12	05:08:28.37	-68:29:35.3	16.773	-99.99	-99.99	0.8178303	0.0000017	6000.75382	0.219	0.223	3.853	0.090	1.867	-99.99	LMC118.4.19152	LMC510.19.11602D	-99.99	
OGLE-LMC-CEP-1070	F	05:08:30.37	-69:07:42.5	15.536	16.224	0.688	2.7886917	0.0001048	6000.31337	0.460	0.417	4.519	0.218	2.619	LMC_SC11_130217	LMC119.3.83198	LMC510.03.53704	-99.99	
OGLE-LMC-CEP-1071	F	05:08:30.61	-69:08:46.4	15.389	16.164	0.775	3.3813158	0.0000485	6003.28958	0.291	0.487	4.589	0.177	2.312	LMC_SC11_130198	LMC119.3.83199	LMC510.03.53670	-99.99	
OGLE-LMC-CEP-1072	F	05:08:31.04	-68:12:31.8	15.675	16.396	0.721	2.6663357	0.0000045	6000.05714	0.440	0.469	4.521	0.251	2.838	-99.99	LMC117.2.19553	LMC510.27.35002	-99.99	
OGLE-LMC-CEP-1073	F	05:08:33.50	-70:26:53.9	14.483	15.190	0.707	5.1700833	0.0000102	6003.51416	0.438	0.415	4.605	0.204	2.962	-99.99	LMC121.2.51801	LMC509.02.32	-99.99	
OGLE-LMC-CEP-1074	F	05:08:35.26	-68:48:59.4	15.648	16.378	0.730	2.7101144	0.0000039	6002.08131	0.498	0.455	4.469	0.242	2.721	LMC_SC11_156885	LMC118.1.72454	LMC510.10.57591	-99.99	
OGLE-LMC-CEP-1075	1	05:08:36.76	-70:18:59.4	14.714	15.380	0.666	3.2529571	0.0000154	6000.55151	0.223	0.086	3.384	0.051	0.043	-99.99	LMC121.3.53535	LMC509.02.27259	-99.99	
OGLE-LMC-CEP-1076	F	05:08:38.45	-68:30:41.4	15.063	15.871	0.808	4.2818550	0.0000095	6000.81719	0.355	0.377	4.709	0.154	3.206	-99.99	LMC118.3.69075	LMC510.19.47388	-99.99	
OGLE-LMC-CEP-1077	F	05:08:42.30	-67:13:48.2	14.496	15.326	0.830	4.6542712	0.0000115	6000.61152	0.335	0.450	4.796	0.199	3.320	-99.99	LMC116.4.13058	LMC511.20.20798	HV12974	
OGLE-LMC-CEP-1078	F	05:08:43.12	-68:45:33.1	13.930	14.710	0.780	8.5594791	0.0000249	6000.70402	0.464	0.279	5.422	0.228	3.910	LMC_SC11_250938	LMC118.2.26600	LMC510.10.57473	Var/NGC1850	
OGLE-LMC-CEP-1079	F	05:08:43.57	-69:08:26.4	15.005	15.890	0.885	4.2106348	0.0000273	6003.78406	0.153	0.211	4.534	0.042	2.811	LMC_SC11_217088	LMC119.3.96355	LMC510.02.53689	-99.99	
OGLE-LMC-CEP-1080	F	05:08:43.98	-68:45:28.0	13.056	14.016	0.960	18.6607062	0.0001393	6016.63714	0.504	0.217	4.943	0.134	2.655	LMC_SC11_250872	LMC118.2.26606	LMC510.10.57309	-99.99	
OGLE-LMC-CEP-1081	F	05:08:44.71	-68:00:25.2	14.964	15.293	0.329	4.1999929	0.0000088	6002.65549	0.650	0.459	4.597	0.237	3.014	-99.99	LMC117.3.18254	LMC511.03.151	-99.99	
OGLE-LMC-CEP-1082	F1	05:08:46.26	-68:45:39.7	13.925	14.586	0.661	7.8629519	0.0006405	6007.34879	0.021	0.000	-99.99	0.000	-99.99	LMC_SC11_250925	LMC118.2.26639	LMC510.10.57304	-99.99	
OGLE-LMC-CEP-1083	F	05:08:46.53	-68:10:31.7	13.913	14.667	0.754	8.8996793	0.0000261	6001.00130	0.470	0.192	5.547	0.187	4.953	-99.99	LMC117.2.19531	LMC510.27.34920	HV2332	
OGLE-LMC-CEP-1084	1	05:08:46.59	-69:52:13.1	15.756	16.419	0.663	1.6752021	0.0000049	6000.18620	0.181	0.128	4.528	0.000	-99.99	-99.99	LMC120.2.66586	LMC509.19.333	-99.99	
OGLE-LMC-CEP-1085	F	05:08:47.38	-66:51:43.0	15.067	15.802	0.735	3.9682177	0.0000093	6000.78003	0.505	0.457	4.699	0.241	3.167	-99.99	LMC115.3.14544	LMC511.28.18186	HV5591	
OGLE-LMC-CEP-1086	F	05:08:48.37	-66:55:04.3	13.463	14.319	0.856	17.2020785	0.0001124	6014.90784	0.562	0.269	5.136	0.156	3.270	-99.99	LMC115.2.14559	LMC511.28.18103	HV5594	
OGLE-LMC-CEP-1087	F	05:08:48.90	-69:39:14.0	15.287	16.081	0.794	3.5857249	0.0000053	6002.87615	0.385	0.398	4.625	0.185	3.032	-99.99	LMC120.4.34340	LMC509.19.37377	HV5624	
OGLE-LMC-CEP-1088	F	05:08:49.54	-68:59:59.1	13.400	-99.99	-99.99	13.8791812	0.0001252	6002.72226	0.572	0.116	4.952	0.143	1.254	LMC_SC11_227948	LMC119.4.99400	LMC510.10.575D	-99.99	
OGLE-LMC-CEP-1089	1	05:08:50.53	-70:46:47.1	14.716	15.342	0.626	3.2674861	0.0000192	6002.17945	0.224	0.119	3.508	0.058	0.563	-99.99	LMC114.5.37	LMC508.27.11	DV303	
OGLE-LMC-CEP-1090	1	05:08:50.70	-71:18:42.9	14.987	15.691	0.704	2.7861933	0.0000134	6000.79680	0.202	0.036	3.447	0.038	6.019	-99.99	LMC114.8.27	LMC508.10.85	-99.99	
OGLE-LMC-CEP-1091	1	05:08:53.11	-67:50:42.3	16.637	17.282	0.645	0.8956878	0.0000016	6000.86927	0.185	0.195	3.840	0.069	1.808	-99.99	LMC117.4.14701	LMC511.03.28418	-99.99	
OGLE-LMC-CEP-1092	F	05:08:54.20	-70:06:07.3	15.488	16.259	0.771	3.1094760	0.0000037	6001.07333	0.448	0.451	4.587	0.239	2.927	-99.99	LMC120.1.23728	LMC509.10.137	-99.99	
OGLE-LMC-CEP-1093	F	05:08:54.28	-69:14:33.7	15.291	16.084	0.793	3.5869112	0.0000057	6001.99852	0.407	0.407	4.631	0.193	3.017	LMC_SC11_206018	LMC119.3.41739	LMC510.02.209	HV11983	
OGLE-LMC-CEP-1094	F	05:08:54.92	-68:43:10.1	14.309	15.122	0.813	7.0104011	0.0000147	6002.16663	0.521	0.415	4.944	0.153	3.221	LMC_SC11_257269	LMC118.2.97010	LMC510.10.57538	D34/NGC1850	
OGLE-LMC-CEP-1095	1	05:08:55.81	-70:06:08.4	15.924	16.655	0.731	1.6312573	0.0000037	6000.12678	0.215	0.166	4.667	0.027	3.511	-99.99	LMC120.1.23793	LMC509.10.369	-99.99	
OGLE-LMC-CEP-1096	F	05:08:57.64	-68:50:59.2	14.767	15.480	0.713	4.3688532	0.0000048	6004.30157	0.541	0.411	4.486	0.206	2.768	LMC_SC11_244566	LMC118.1.84619	LMC510.10.167	-99.99	
OGLE-LMC-CEP-1097	1	05:08:57.66	-70:41:02.7	15.190	15.768	0.578	2.3107813	0.0000325	6002.11684	0.219	0.031	4.440	0.064	5.709	-99.99	LMC113.8.28	LMC508.27.301D	-99.99	
OGLE-LMC-CEP-1098	1	05:08:58.64	-68:58:17.2	15.549	16.282	0.733	1.9797695	0.0000063	6000.99149	0.157	0.135	4.996	0.027	4.490	-99.99	LMC119.4.92614	LMC510.10.208	-99.99	
OGLE-LMC-CEP-1099	12	05:09:03.22	-71:04:38.5	16.931	17.446	0.515	0.6530590	0.0000033	6000.01252	0.199	0.263	3.674	0.091	1.605	-99.99	LMC114.7.236	LMC508.19.372	-99.99	
OGLE-LMC-CEP-1100	F	05:09:04.38	-70:21:54.1	13.380	14.207	0.827	13.6298535	0.0000873	6005.35517	0.442	0.158	4.738	0.123	1.575	-99.99	-99.99	LMC509.02.27148	HV2352	
OGLE-LMC-CEP-1101	1	05:09:06.92	-70:21:03.7	14.731	15.359	0.628	3.1084765	0.0000140	6001.79515	0.231	0.096	3.435	0.053	0.272	-99.99	LMC113.6.34424	LMC509.02.27155	HV2353	
OGLE-LMC-CEP-1102	12	05:09:07.00	-69:29:21.3	17.540	18.155	0.615	0.4833313	0.0000006	6000.25058	0.291	0.227	3.211	0.147	0.744	LMC_SC11_186270	LMC119.1.37035	LMC509.27.1373	-99.99	
OGLE-LMC-CEP-1103	12	05:09:07.35	-67:01:25.7	16.732	17.330	0.598	0.7576557	0.0000016	6000.19418	0.282	0.264	3.479	0.138	1.414	-99.99	LMC115.2.14795	LMC511.27.207	-99.99	
OGLE-LMC-CEP-1104	1	05:09:07.81	-67:01:12.8	16.817	17.444	0.627	0.7067919	0.0000013	6000.67928	0.215	0.180	3.089	0.161	0.614	-99.99	LMC115.2.14796	LMC511.27.494	-99.99	
OGLE-LMC-CEP-1105	12	05:09:08.05	-68:56:42.7	16.003	16.659	0.656	1.2174971	0.0000031	6000.40563	0.227	0.209	4.191	0.061	2.110	LMC_SC11_233290	LMC118.1.35170	LMC510.10.627	-99.99	
OGLE-LMC-CEP-1106	13	05:09:09.93	-68:34:58.8	17.184	17.757	0.573	0.5710954	0.0000006	6000.04511	0.269	0.121	3.302	0.108	0.748	-99.99	LMC118.3.36626	LMC510.19.1510	-99.99	
OGLE-LMC-CEP-1107	F	05:09:12.36	-70:51:49.4	15.542	16.325	0.783	3.1336523	0.0000045	6002.27939	0.527	0.424	4.448	0.232	2.652	-99.99	LMC114.5.155	LMC508.18.17185	DV91	
OGLE-LMC-CEP-1108	F	05:09:15.12	-69:09:02.5	15.470	16.224	0.754	3.0378688	0.0000060	6001.50812	0.281	0.288	4.455	0.101	2.651	LMC_SC11_217136	LMC119.3.96385	LMC510.02.53668	HV11985	
OGLE-LMC-CEP-1109	F	05:09:15.94	-68:44:29.6	13.615	14.413	0.798	11.8606009	0.0000394	6003.05493	0.630	0.215	4.750	0.152	1.357	LMC_SC11_257240	LMC118.2.43115	LMC510.10.57321	HV905	
OGLE-LMC-CEP-1110	F	05:09:17.79	-68:39:09.1	14.965	15.780	0.815	4.9342752	0.0000136	6004.67547	0.374	0.390	4.908	0.130	3.514	-99.99	LMC118.3.36425	LMC510.19.31	-99.99	
OGLE-LMC-CEP-1111	1	05:09:18.01	-69:17:56.7	15.540	16.151	0.611	1.5162195	0.0000025	6000.01481	0.224	0.166	4.146	0.038	2.073	LMC_SC11_200817	LMC111.7.42372	LMC510.02.131	-99.99	
OGLE-LMC-CEP-1112	F	05:09:18.35	-68:17:58.4	13.935	14.701	0.766	7.9260990	0.0000195	6006.48838	0.498	0.367	4.914	0.138	3.030	-99.99	LMC117.1.27461	LMC510.27.11	HV2335	
OGLE-LMC-CEP-1113	F	05:09:20.15	-70:27:27.0	-99.99	-99.99	-99.99	37.5586900	0.0257272	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	-99.99	LMC113.7.39583	-99.99	HV909	
OGLE-LMC-CEP-1114	F	05:09:20.34	-70:32:51.7	14.884	15.602	0.718	4.1407602	0.0000055	6000.97130	0.559	0.451	4.583	0.250	2.986	-99.99	LMC113.7.15	LMC508.26.23366	DV90	
OGLE-LMC-CEP-1115	F	05:09:20.47	-68:51:05.3	13.938	14.790	0.852	9.6718702	0.0000505	6001.68919	0.325	0.201	6.282	0.100	5.528	-99.99	LMC118.1.84583	LMC510.10.38	A83/NGC1854	
OGLE-LMC-CEP-1116	F	05:09:21.21	-70:49:22.9	15.588	-99.99	-99.99	3.2997648	0.0000101	6000.54063	0.465	0.457	4.576	0.247	2.897	-99.99	LMC114.5.161	LMC508.26.260D	-99.99	
OGLE-LMC-CEP-1117	1	05:09:22.69	-69:07:17.5	16.578	17.292	0.714	1.0675626	0.0000019	6000.21596	0.230	0.218	4.225	0.053	2.053	LMC_SC11_306838	LMC111.6.43268	LMC510.02.55186	-99.99	
OGLE-LMC-CEP-1118	F	05:09:25.70	-69:19:07.6	15.100	15.887	0.787	3.7793335	0.0000109	6003.70518	0.435	0.402	4.520	0.201	2.817	LMC_SC11_290549	LMC111.7.42340	LMC509.27.46525	-99.99	
OGLE-LMC-CEP-1119	1	05:09:26.86	-68:50:35.9	15.608	16.277	0.669	1.7435990	0.0000490	6000.59460	0.060	0.080	4.756	0.000	-99.99	LMC_SC11_338308	LMC118.1.84773	LMC510.10.447	-99.99	
OGLE-LMC-CEP-1120	F	05:09:26.95	-68:54:12.8	13.714	14.605	0.891	11.9045706	0.0000439	6010.81125	0.529	0.097	4.965	0.130	1.473	LMC_SC11_331546	LMC118.1.35079	LMC510.10.20	HV906	
OGLE-LMC-CEP-1121	1	05:09:27.36	-66:40:05.4	14.911	15.530	0.619	2.5650100	0.0000196	6000.95924	0.234	0.072	4.644	0.025	4.689	-99.99	LMC115.4.15409	LMC512.03.17865	-99.99	
OGLE-LMC-CEP-1122	F	05:09:27.44	-68:04:04.7	14.938	15.684	0.746	4.6912197	0.0000110	6001.91073	0.503	0.445	4.802	0.202	3.360	-99.99	LMC117.2.66839	LMC511.02.55	HV2334	
OGLE-LMC-CEP-1123	1	05:09:29.01	-68:03:01.3	15.704	16.347	0.643	1.5941023	0.0000036	6001.36741	0.224	0.155	4.528	0.033	2.998	-99.99	LMC117.3.27551	LMC511.02.174	-99.99	
OGLE-LMC-CEP-1124	F	05:09:29.76	-68:58:15.4	14.979	15.751	0.772	4.4572723	0.0000078	6004.30951	0.371	0.399	4.753	0.164	3.294	LMC_SC11_325522	LMC111.5.43699	LMC510.10.206	S141	
OGLE-LMC-CEP-1125	12	05:09:29.84	-68:21:19.7	16.668	17.286	0.618	0.7683211	0.0000013	6000.48621	0.197	0.213	3.748	0.098	1.643	-99.99	LMC118.4.63045	LMC510.27.226	-99.99	
OGLE-LMC-CEP-1126	1	05:09:30.31	-66:44:14.7	15.329	15.862	0.533	1.9071913	0.0000470	6001.61259	0.266	0.187	4.551	0.000	-99.99	-99.99	LMC115.3.14570	LMC512.02.943D	-99.99	
OGLE-LMC-CEP-1127	F	05:09:33.81	-70:42:39.4	15.021	15.821	0.800	4.4516036	0.0000095	6001.95617	0.339	0.375	4.784	0.147	3.333	-99.99	LMC113.8.7483	LMC508.26.93	HV12561	
OGLE-LMC-CEP-1128	F	05:09:36.96	-68:02:43.6	14.272	15.035	0.763	6.8625537	0.0000160	6000.30195	0.554	0.385	5.152	0.209	3.235	-99.99	LMC117.3.27530	LMC511.02.14	HV2337	
OGLE-LMC-CEP-1129	F	05:09:37.54	-70:17:31.0	14.786	15.520	0.734	5.8299795	0.0000211	6002.57784	0.364	0.335	5.137	0.119	3.677	-99.99	LMC113.6.43279	LMC509.02.27278	HV12560	
OGLE-LMC-CEP-1130	1	05:09:38.29	-70:14:13.3	15.620	-99.99	-99.99	1.8655813	0.0000056	6000.08041	0.164	0.174	4.983	0.061	3.452	-99.99	LMC113.5.8996	LMC509.02.6502D	-99.99	
OGLE-LMC-CEP-1131	1	05:09:43.08	-68:36:59.3	15.890	16.565	0.675	1.4903909	0.0000053	6000.66084	0.136	0.118	4.410	0.000	-99.99	-99.99	LMC110.6.74	LMC510.19.178	-99.99	
OGLE-LMC-CEP-1132	1	05:09:44.97	-67:36:23.7	16.203	16.828	0.625	1.0563713	0.0000026	6000.67757	0.135	0.137	3.905	0.031	1.055	-99.99	LMC116.2.13000	LMC511.10.278	-99.99	
OGLE-LMC-CEP-1133	1	05:09:47.71	-68:56:44.0	15.447	16.062	0.615	1.7198043	0.0000180	6001.07318	0.038	0.000	-99.99	0.053	2.818	-99.99	LMC110.8.112	LMC510.10.264	-99.99	
OGLE-LMC-CEP-1134	1	05:09:47.91	-66:35:46.1	14.577	15.192	0.615	3.0904146	0.0000176	6002.41896	0.165	0.027	3.954	0.024	5.038	-99.99	LMC115.4.15377	LMC512.02.16297	-99.99	
OGLE-LMC-CEP-1135	F	05:09:49.48	-69:17:08.1	15.609	16.375	0.766	2.7574665	0.0000038	6002.41493	0.453	0.426	4.494	0.215	2.750	LMC_SC11_290607	LMC111.7.42405	LMC510.02.146	-99.99	
OGLE-LMC-CEP-1136	F	05:09:50.14	-68:31:17.9	15.280	15.953	0.673	3.0438813	0.0000033	6000.77780	0.504	0.415	4.441	0.217	2.571	-99.99	LMC110.6.34658	LMC510.19.47451	-99.99	
OGLE-LMC-CEP-1137	1	05:09:52.40	-69:12:29.5	15.745	16.602	0.857	1.9427504	0.0000042	6001.20134	0.244	0.163	4.586	0.025	3.312	LMC_SC11_300939	LMC111.6.121	LMC510.02.647	-99.99	
OGLE-LMC-CEP-1138	1	05:09:53.52	-68:59:03.9	15.795	16.498	0.703	1.7143012	0.0000064	6001.60541	0.157	0.146	4.878	0.036	4.562	LMC_SC11_325558	LMC111.5.43795	LMC510.10.188	-99.99	
OGLE-LMC-CEP-1139	F	05:09:55.93	-68:49:12.9	15.559	16.286	0.727	2.7737319	0.0000035	6001.56713	0.386	0.384	4.446	0.175	2.647	LMC_SC11_338248	LMC110.8.43465	LMC510.10.57583	-99.99	
OGLE-LMC-CEP-1140	F	05:09:56.34	-68:59:40.6	13.856	-99.99	-99.99	8.1860593	0.0003344	6007.20930	0.513	0.289	5.030	0.183	3.269	LMC_SC11_320035	LMC111.5.43688	LMC510.10.576D	-99.99	
OGLE-LMC-CEP-1141	F	05:09:59.27	-69:08:40.6	14.620	15.371	0.751	5.7915228	0.0000141	6000.39434	0.530	0.428	5.066	0.169	3.394	LMC_SC10_35605	LMC111.6.43035	LMC510.02.53576	HV2349	
OGLE-LMC-CEP-1142	F	05:10:00.53	-66:41:56.1	14.954	15.712	0.758	4.4301196	0.0000241	6002.86226	0.220	0.276	4.765	0.074	3.268	-99.99	LMC115.4.15429	LMC512.02.16310	-99.99	
OGLE-LMC-CEP-1143	1	05:10:01.88	-69:07:44.0	15.312	15.891	0.579	1.7626789	0.0000047	6000.16245	0.127	0.097	4.343	0.000	-99.99	LMC_SC10_35651	LMC111.6.43205	LMC510.02.53718	-99.99	
OGLE-LMC-CEP-1144	F	05:10:02.01	-69:27:18.9	15.820	16.850	1.030	3.6554548	0.0000075	6003.22338	0.402	0.409	4.651	0.196	3.091	LMC_SC10_8695	LMC111.8.36634	LMC509.26.592	-99.99	
OGLE-LMC-CEP-1145	F	05:10:02.96	-69:01:16.1	15.185	15.863	0.678	3.3413160	0.0000041	6001.92563	0.526	0.415	4.475	0.220	2.728	LMC_SC10_44984	LMC111.5.60	LMC510.02.53914	-99.99	
OGLE-LMC-CEP-1146	F	05:10:04.44	-68:53:29.6	15.506	16.223	0.717	2.7138617	0.0000029	6002.49803	0.504	0.450	4.447	0.239	2.666	LMC_SC10_54641	LMC110.8.155	LMC510.10.354	-99.99	
OGLE-LMC-CEP-1147	1	05:10:05.38	-68:55:31.7	15.686	16.332	0.646	1.5652448	0.0000037	6001.41520	0.177	0.142	4.483	0.020	3.004	LMC_SC10_49799	LMC110.8.159	LMC510.10.289	-99.99	
OGLE-LMC-CEP-1148	1	05:10:08.21	-68:56:27.1	15.132	15.772	0.640	2.2967877	0.0000088	6000.70700	0.212	0.091	4.908	0.010	-99.99	LMC_SC10_49743	LMC110.8.68	LMC510.10.270	-99.99	
OGLE-LMC-CEP-1149	F	05:10:12.01	-68:10:13.9	15.697	16.448	0.751	2.5244309	0.0000034	6002.27863	0.425	0.457	4.454	0.226	2.739	-99.99	LMC109.7.72	LMC510.26.31667	HV2344	
OGLE-LMC-CEP-1150	F	05:10:13.40	-66:35:00.7	15.219	15.962	0.743	3.5187754	0.0000048	6001.11894	0.488	0.453	4.626	0.247	3.022	-99.99	LMC107.5.56	LMC512.02.16358	-99.99	
OGLE-LMC-CEP-1151	12	05:10:15.38	-68:20:27.3	16.231	16.826	0.595	1.0841119	0.0000040	6000.46905	0.235	0.223	4.190	0.057	2.085	-99.99	LMC109.8.168	LMC510.26.227	-99.99	
OGLE-LMC-CEP-1152	12	05:10:17.89	-69:22:05.2	16.419	17.306	0.887	0.6068357	0.0000009	6000.30867	0.153	0.249	3.422	0.118	0.919	LMC_SC10_17041	LMC111.7.10445	LMC509.26.44120	-99.99	
OGLE-LMC-CEP-1153	1	05:10:18.74	-70:05:01.3	15.791	16.467	0.676	1.6291427	0.0000033	6000.37519	0.189	0.176	4.611	0.022	3.838	-99.99	LMC112.8.8915	LMC509.09.438	-99.99	
OGLE-LMC-CEP-1155	12	05:10:21.76	-70:46:40.6	16.555	17.095	0.540	0.7786297	0.0000011	6000.59655	0.235	0.228	3.815	0.103	1.691	-99.99	LMC114.5.17435	LMC508.26.405	-99.99	
OGLE-LMC-CEP-1156	F	05:10:22.45	-67:08:46.0	15.281	-99.99	-99.99	4.5099113	0.0000102	6000.60099	0.514	0.479	4.860	0.201	3.068	-99.99	LMC107.8.48	LMC511.19.4918D	-99.99	
OGLE-LMC-CEP-1157	1	05:10:23.20	-67:58:22.7	16.553	17.230	0.677	0.9520974	0.0000015	6000.65004	0.205	0.223	3.987	0.064	1.889	-99.99	LMC109.6.20097	LMC511.02.588	-99.99	
OGLE-LMC-CEP-1158	1	05:10:23.64	-67:52:03.3	15.083	15.752	0.669	2.4661780	0.0000054	6000.09813	0.238	0.103	4.578	0.000	-99.99	-99.99	LMC109.5.26	LMC511.02.26650	-99.99	
OGLE-LMC-CEP-1159	1	05:10:23.78	-69:10:10.7	15.562	16.300	0.738	1.9550330	0.0000207	6001.56487	0.094	0.031	5.129	0.037	5.100	LMC_SC10_31368	LMC111.6.9678	LMC510.01.361	-99.99	
OGLE-LMC-CEP-1160	1	05:10:26.54	-69:29:51.8	15.489	16.269	0.780	2.1591812	0.0000081	6001.50203	0.202	0.109	4.832	0.000	-99.99	LMC_SC10_8660	LMC111.8.8900	LMC509.26.195	-99.99	
OGLE-LMC-CEP-1161	F	05:10:28.46	-69:53:16.5	15.503	16.249	0.746	2.9702623	0.0000038	6000.58529	0.404	0.431	4.542	0.208	2.846	-99.99	LMC112.7.51191	LMC509.18.90	-99.99	
